rank,gene_name,perturbation_P0,transferability,rank_score,perturbation_E15,perturbation_P13,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
1,Npas4,0.97264016,0.95604676,0.9298895,0.09339636,0.37091878,0.75962794,0.66940546,1.0,0.5410228,0.19125587
2,9530059O14Rik,0.96982545,0.93912196,0.91078436,0.29253846,0.045781516,0.7494962,0.48636878,1.0,0.30826005,0.022909822
3,Styk1,0.9140837,0.96246135,0.8797703,0.098624595,0.041968923,0.4354239,0.39936045,1.0,0.51864094,0.06367338
4,Zfhx3,0.8460213,0.98106694,0.8300035,0.059847873,0.085210286,0.3627859,0.41274467,1.0,0.9028482,0.18995956
5,Gm30382,0.8224251,0.99841547,0.821122,0.29025567,0.06378356,0.64515996,0.4655807,1.0,0.25548014,0.040019233
6,Gm28928,0.81052685,0.99778825,0.8087342,0.02502293,0.17743173,0.91370374,0.57188356,1.0,0.052750852,0.027873892
7,Gm44846,0.79253805,0.9881695,0.78316194,0.39044324,0.03494604,0.7004977,0.49836853,1.0,0.32036385,0.0365661
8,Nts,0.81107694,0.945036,0.7664969,0.418676,0.103455186,0.39571375,0.2537593,1.0,0.30328012,0.2168926
9,Rmst,0.7649796,0.9880718,0.7558548,0.262311,0.01551177,0.6047593,0.41354162,1.0,0.8194054,0.11731275
10,L3mbtl4,0.76288116,0.9858369,0.7520764,0.020624569,0.016367251,0.58636236,0.45601168,1.0,0.49318278,0.029161628
11,B230206I08Rik,0.74187094,0.98203397,0.72854245,0.18566008,0.1022547,0.6142637,0.45554137,1.0,0.51924837,0.018278822
12,Gm42735,0.7289261,0.98012275,0.71443707,0.08226345,0.03981331,0.6709674,0.47127163,1.0,0.38659903,0.0130879935
13,Cntnap5c,0.7501858,0.94436246,0.7084473,0.088514626,0.008654399,0.62536067,0.5072679,1.0,0.4315707,0.1339764
14,Kcnh4,0.7273691,0.9629213,0.7003992,0.11126539,0.105829716,0.6717958,0.52476144,1.0,0.34929743,0.26707852
15,Gm45159,0.71228325,0.98219055,0.6995979,0.1946814,0.11271961,0.72075015,0.4981109,1.0,0.29489198,0.023187462
16,Scn9a,0.7044474,0.98506653,0.6939275,0.20814562,0.06064825,0.52065414,0.33671924,1.0,0.6152364,0.17653798
17,Rpl36,0.70153636,0.9867442,0.69223696,0.068796866,0.03756175,0.24761869,0.44318697,1.0,0.29111165,0.46405724
18,Lama3,0.73347276,0.9379637,0.6879708,0.064251445,0.18085006,0.5392166,0.58294463,1.0,0.8128052,0.117542304
19,Ntng1,0.7423543,0.9174566,0.68107784,0.19107583,0.07153161,0.69882286,0.56843895,1.0,0.5559301,0.22705926
