rank,gene_name,perturbation_P0,transferability,rank_score,perturbation_E15,perturbation_P13,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
20,Gpr146,0.75213593,0.9043449,0.6801903,0.13105987,0.03376399,0.6340329,0.6537756,1.0,0.71007234,0.16041377
21,Trim16,0.761157,0.89170647,0.6787286,0.07732205,0.19640225,0.48753956,0.43110582,1.0,0.81732696,0.13021432
22,Pcdhga10,0.75109845,0.90154785,0.6771512,0.37971184,0.034731347,0.48662674,0.48426116,1.0,0.94187826,0.28106374
23,mt-Co2,0.7259076,0.91392475,0.66342497,0.24814714,0.12867072,0.30109537,0.64707536,1.0,0.57784975,0.43171418
24,Hmgb2,0.6707258,0.98217875,0.65877265,0.31617248,0.0033148946,0.24350534,0.21355167,1.0,0.43437168,0.35035592
25,Gm13416,0.80608135,0.81408036,0.656215,0.4690185,0.08512061,0.7224117,0.49947074,1.0,0.34021798,0.016348673
26,Alk,0.6786885,0.95678014,0.6493557,0.039831802,0.030870397,0.5626287,0.526071,1.0,0.72067857,0.15125433
27,Rpl18a,0.6463881,0.9859095,0.63728017,0.071867585,0.1358583,0.23856126,0.41264948,1.0,0.3326247,0.5894513
28,Zbtb40,0.9030438,0.70268136,0.63455206,0.009021059,0.041596998,0.4530635,0.46233398,1.0,0.98863286,0.2682009
29,Adgrg6,0.67680687,0.9364011,0.6337627,0.10066004,0.19694312,0.63378394,0.5571519,1.0,0.5642707,0.0910776
30,Tacr1,0.6399718,0.9866345,0.6314182,0.15455033,0.013069484,0.6095441,0.4536362,1.0,0.54551417,0.11221006
31,Gm37478,0.6590084,0.95547795,0.629668,0.02499227,0.0346372,0.7670743,0.475223,1.0,0.19380823,0.024897322
32,Gm16701,0.6449745,0.9589536,0.61850065,0.041899476,0.0020551854,0.5293479,0.5483903,1.0,0.8747739,0.17689484
33,Ubb,0.6409432,0.95906836,0.61470836,0.047568012,0.10362394,0.34041852,0.46698034,1.0,0.49394718,0.79539204
34,Runx2,0.6102445,0.9993647,0.6098568,0.0331413,0.0719428,0.76027924,0.586289,1.0,0.29060408,0.11493514
35,Sgcd,0.62566704,0.9730422,0.6088004,0.109146595,0.08835712,0.62634474,0.48006976,1.0,0.6166543,0.068383306
36,Plcxd3,0.69716865,0.87100476,0.6072372,0.0464241,0.009596363,0.5423672,0.49799,1.0,0.9315374,0.17395364
37,Gm44769,0.62914485,0.96328527,0.60604596,0.24778798,0.2084649,0.639735,0.4524553,1.0,0.6131186,0.045804664
38,Gm1043,0.7470086,0.8084784,0.60394037,0.17134365,0.0035476582,0.56970376,0.4840215,1.0,0.84403116,0.26037204
39,Klhl1,0.62349725,0.9670111,0.60292876,0.020945607,0.0059284647,0.6334499,0.49072874,1.0,0.47763023,0.14776805
40,Gm45073,0.61715746,0.9759651,0.6023241,0.15974973,0.0135253,0.4471363,0.46368092,1.0,0.9612015,0.007581675
41,Ngfr,0.6259877,0.95886004,0.6002346,0.0431555,0.1373766,0.22264163,0.2827904,1.0,0.6784847,0.20681229
42,Oprk1,0.8134852,0.72251225,0.587753,0.03510215,0.010997483,0.8370189,0.62542796,1.0,0.2354277,0.08560464
43,Fzd7,0.62047565,0.9466593,0.58737904,0.0977122,0.058158573,0.36643937,0.40940878,1.0,0.83558035,0.22804564
44,Gm42608,0.60040355,0.96657217,0.58033335,0.16125794,0.05719187,0.6854052,0.54415125,1.0,0.47742096,0.06636004
45,Nbeal2,0.5802047,0.99366456,0.57652885,0.005854802,0.015572472,0.6073914,0.47325924,1.0,0.53515434,0.23872958
46,A930011G23Rik,0.77300686,0.74538964,0.5761913,0.21929064,0.03891257,0.63075334,0.45640525,1.0,0.68454623,0.089720115
47,RP23-261B5.1,0.5930052,0.97144705,0.5760731,0.1507622,0.06404895,0.5602192,0.43317086,1.0,0.9632567,0.05714989
48,Rps24,0.5773783,0.9898586,0.5715229,0.10965059,0.04779968,0.27391768,0.43525824,1.0,0.3900786,0.5771867
49,Meg3,0.57611424,0.9889827,0.569767,0.19405434,0.05930669,0.8111798,0.5284654,1.0,0.21057588,0.71412164
50,L3mbtl1,0.5875415,0.96875733,0.56918514,0.18533929,0.016184947,0.8102074,0.56479627,1.0,0.23870562,0.1311461
