gene_name,max_abs_log2FC,weighted_mean_abs_log2FC,n_groups_significant,detected_in_male,detected_in_female,sex_specificity
Ints9,0.1517057962190943,0.09630669147818542,0,False,False,neither
Intu,0.27559362276264654,0.17102717890738367,0,False,False,neither
Invs,0.31732685108756814,0.19910553568638972,0,False,False,neither
Ip6k1,0.220200838025828,0.1297594100001418,0,False,False,neither
Ip6k2,0.329551373678263,0.16129710631675945,0,False,False,neither
Ip6k3,0.3675959223944612,0.2258657264012181,0,False,False,neither
Ipcef1,0.43529599778708433,0.2229190117845312,0,False,False,neither
Ipmk,0.053933898146025616,0.033215976596111224,0,False,False,neither
Ipo11,0.22833330397500584,0.12595019466978585,0,False,False,neither
Ipo13,0.3503788131919998,0.23844333999881528,0,False,False,neither
Ipo4,0.19838555781558684,0.15510731743707434,0,False,False,neither
Ipo5,0.36059272738485076,0.148962308539768,0,False,False,neither
Ipo7,0.12645156375017133,0.0793348958159443,0,False,False,neither
Ipo8,0.13123686387525654,0.07197486126323599,0,False,False,neither
Ipo9,0.18299468654736073,0.08021433712234052,0,False,False,neither
Ipp,0.10382216038471025,0.07697191620352586,0,False,False,neither
Ippk,0.35687817734615157,0.11784745511500534,0,False,False,neither
Iqca,0.5937757227336855,0.23918584160116574,1,True,False,male_only
Iqcb1,0.22563776593863397,0.174538793754275,0,False,False,neither
Iqcc,0.20400694033782882,0.1348191207326087,0,False,False,neither
Iqcd,0.3367182257423742,0.20599840734911956,0,False,False,neither
Iqce,0.2815636814351323,0.1568351403476359,0,False,False,neither
Iqcf1,0.253830130115658,0.16821201787623272,0,False,False,neither
Iqcf3,0.37552958864574554,0.21360080870380985,0,False,False,neither
Iqcf4,0.0830652472523977,0.031519475547365346,0,False,False,neither
Iqcf5,0.12667113110251757,0.09580810571704423,0,False,False,neither
Iqcg,0.36150042796270215,0.26111508574628906,0,False,False,neither
Iqch,0.3770612731868491,0.270363327092199,0,False,False,neither
Iqcj,0.3479223484337838,0.1969266350325768,0,False,False,neither
Iqck,0.5786052091660128,0.25681944199211865,1,True,False,male_only
Iqgap1,0.17291022900803385,0.10102996861499293,0,False,False,neither
Iqgap2,0.2379326498718566,0.1413651980751398,0,False,False,neither
Iqgap3,0.24835982296462736,0.14160708893871118,0,False,False,neither
Iqsec1,0.14797792334741283,0.11304116123264257,0,False,False,neither
Iqsec2,0.15542288776663446,0.12257049917290759,0,False,False,neither
Iqsec3,0.19243364686410433,0.13223714101373013,0,False,False,neither
Iqub,0.6634154110193204,0.33993735579930906,1,True,False,male_only
Irak1,0.4200714185688037,0.23086103018527382,0,False,False,neither
Irak1bp1,0.08703189905715619,0.06195790764766047,0,False,False,neither
Irak2,0.29332770078087333,0.13936559913024732,0,False,False,neither
Irak3,0.5798171927767982,0.1840318896109823,1,False,True,female_only
Irak4,0.1892510670100149,0.1615079165768195,0,False,False,neither
Ireb2,0.29858738138389146,0.1567110082918622,0,False,False,neither
Irf1,0.19051282478289697,0.11066302581369673,0,False,False,neither
Irf2,0.2877497104592318,0.16665735730696674,0,False,False,neither
Irf2bp1,0.22104939985235988,0.14868548994713532,0,False,False,neither
Irf2bp2,0.43330618703008006,0.3652438655031833,0,False,False,neither
Irf2bpl,0.26758688965010774,0.1929477419601892,0,False,False,neither
Irf3,0.41768735904423965,0.20742272851069166,0,False,False,neither
Irf4,0.2298670057214436,0.16871964205097892,0,False,False,neither
Irf5,0.24873873416672987,0.11991892633900314,0,False,False,neither
Irf6,0.33801508143059655,0.22095358019343667,0,False,False,neither
Irf7,0.3497187764846464,0.2927515801596638,0,False,False,neither
Irf8,0.290798059948602,0.12147248618409243,0,False,False,neither
Irf9,0.4930982392145655,0.22930734247422016,0,False,False,neither
Irgc1,0.20378013371105697,0.1536108696814213,0,False,False,neither
Irgm1,0.7093687869001142,0.29271022949715936,1,False,True,female_only
Irgm2,0.5068211927063583,0.210198217656602,1,True,False,male_only
Irgq,0.11890219308367674,0.07220313193394796,0,False,False,neither
Irs1,0.2688901294399726,0.149140155962751,0,False,False,neither
Irs2,0.2898880287580721,0.21338244860394784,0,False,False,neither
Irs3,0.28778617478123514,0.12476840612895453,0,False,False,neither
Irs4,0.48661619369483883,0.24152064982619778,0,False,False,neither
Irx1,1.2524654462394418,0.49985843507313765,2,True,True,both
Irx2,0.42281903600309473,0.24458711126867078,0,False,False,neither
Irx3,0.37249915567474234,0.14033793488962296,0,False,False,neither
Irx3os,0.1332706622731943,0.0750775042142518,0,False,False,neither
Irx4,0.44878770521518707,0.2637095234576301,0,False,False,neither
Irx5,0.6406760776742959,0.2800044172266264,1,False,True,female_only
Irx6,0.20183931649420772,0.10592708488158614,0,False,False,neither
Isca1,0.40344547679656356,0.21336510824225016,0,False,False,neither
Isca2,0.07853246365662753,0.05232965007993448,0,False,False,neither
Iscu,0.3221001838047916,0.22747274338988774,0,False,False,neither
Isg15,0.9575243565977093,0.5671595939269773,3,True,True,both
Isg20,0.19742290218238287,0.10777703458047105,0,False,False,neither
Isg20l2,0.13864872801675937,0.07449388021218592,0,False,False,neither
Isl1,0.8679767770942252,0.3174282232464978,1,True,False,male_only
Isl2,0.2833291643633508,0.13704868348190435,0,False,False,neither
Islr,1.3277736690865263,0.6288133647893412,1,True,False,male_only
Islr2,0.5083162909088644,0.2761434487065983,1,True,False,male_only
Ism1,0.13175398468746616,0.11032787360253338,0,False,False,neither
Isoc1,0.24287243953005813,0.1838874726181367,0,False,False,neither
Isoc2a,0.3357874334153329,0.21782949020804543,0,False,False,neither
Isoc2b,0.08095576127971307,0.04196800426308629,0,False,False,neither
Ispd,0.26252492929316057,0.13544546965250442,0,False,False,neither
Ist1,0.3007770906615599,0.20196386560776353,0,False,False,neither
Isx,0.29555075172748024,0.17999437975600255,0,False,False,neither
Isy1,0.14934889234872545,0.10213461720750622,0,False,False,neither
Isyna1,0.3648201153551183,0.21410110510498245,0,False,False,neither
Itch,0.4224806868564169,0.25384864123582507,0,False,False,neither
Itfg1,0.27777673996764585,0.13026042869444088,0,False,False,neither
Itfg2,0.42565767202875354,0.21920388193502713,0,False,False,neither
Itga1,0.4903665944934243,0.27673288233396964,0,False,False,neither
Itga10,0.2607643689266618,0.17566051752821424,0,False,False,neither
Itga11,0.4090563272932195,0.17085822202075668,0,False,False,neither
Itga2,0.40620004033243917,0.2537990598228547,0,False,False,neither
Itga2b,0.3838183347038933,0.22645377220487417,0,False,False,neither
Itga3,0.29508407248938073,0.18727815533335462,0,False,False,neither
Itga4,0.4130227802984158,0.20671960944105378,0,False,False,neither
Itga5,0.25928570538558865,0.1795895954219092,0,False,False,neither
Itga6,0.19871123593458476,0.11652579037858418,0,False,False,neither
Itga7,0.2984578873927433,0.17139289740483116,0,False,False,neither
Itga8,0.23569078110004887,0.13956913219857578,0,False,False,neither
Itga9,0.47368269020679116,0.20614759721940853,0,False,False,neither
Itgad,0.41685270890437437,0.2130343506771256,0,False,False,neither
Itgae,0.25716700734051745,0.14910579303732283,0,False,False,neither
Itgal,0.36427742826554527,0.26890704100223894,0,False,False,neither
Itgam,0.43177417249076977,0.2961675610726905,0,False,False,neither
Itgav,0.2327262207147901,0.17339324942533185,0,False,False,neither
Itgax,0.31315518481911064,0.24346764620461314,0,False,False,neither
Itgb1,0.17038037666614378,0.09855390116682702,0,False,False,neither
Itgb1bp1,0.1177147259877567,0.06245768604111249,0,False,False,neither
Itgb1bp2,0.3162315752014045,0.13576695165164845,0,False,False,neither
Itgb2,0.45322336866230745,0.27018058566794406,0,False,False,neither
Itgb2l,0.3393854317014624,0.23281516910600503,0,False,False,neither
Itgb3,0.35125809066218755,0.27691613186284975,0,False,False,neither
Itgb3bp,0.36493358067357895,0.2405600044706408,0,False,False,neither
Itgb4,0.2547326771303743,0.12676231767391882,0,False,False,neither
Itgb5,0.23035012025568555,0.11371800838359711,0,False,False,neither
Itgb6,0.4182638152899549,0.19661923859132346,0,False,False,neither
Itgb7,0.26622027135096554,0.15529257241872618,0,False,False,neither
Itgb8,0.3689930113798875,0.19396063808198846,0,False,False,neither
Itgbl1,0.4733551467042681,0.1940042050060706,0,False,False,neither
Itih1,0.261713537163438,0.16565784969177952,0,False,False,neither
Itih2,0.7588570052909273,0.32157408557039074,1,True,False,male_only
Itih4,0.21318515185886908,0.08455183951894696,0,False,False,neither
Itih5,0.5191904046427654,0.21922679995410552,1,True,False,male_only
Itk,0.5008969030031153,0.2782883983598593,1,True,False,male_only
Itln1,0.14747031014799375,0.07897652903507096,0,False,False,neither
Itm2a,0.40857038122476785,0.2317902437006903,0,False,False,neither
Itm2b,0.17962601204805012,0.12387315658454756,0,False,False,neither
Itm2c,0.17418322440627157,0.12314637666595768,0,False,False,neither
Itpa,0.19271404522221022,0.12072206101792776,0,False,False,neither
Itpk1,0.3052425558311151,0.16833954939040002,0,False,False,neither
Itpka,0.1791635844843256,0.14278201293762607,0,False,False,neither
Itpkb,0.22902588674712107,0.14626161181097505,0,False,False,neither
Itpkc,0.27773099689269787,0.1577512262147978,0,False,False,neither
Itpr1,0.30664499606893525,0.18788288455677657,0,False,False,neither
Itpr2,0.3906609486335834,0.25825227071667134,0,False,False,neither
Itpr3,0.29217995963632365,0.23895040058349704,0,False,False,neither
Itpr3os,0.16230727187304098,0.1182448677394034,0,False,False,neither
Itpripl1,0.32992072453766574,0.11551528855819988,0,False,False,neither
Itpripl2,0.15524956498283896,0.07983170941509521,0,False,False,neither
Itsn1,0.18015506095637077,0.096390731920353,0,False,False,neither
Ivd,0.26287038371597155,0.15182229049580687,0,False,False,neither
Ivns1abp,0.18301973739587687,0.11358340849356688,0,False,False,neither
Iws1,0.19081794156414933,0.13064982130623842,0,False,False,neither
Iyd,0.14700838621890924,0.10468927789910454,0,False,False,neither
Izumo1,0.2303407153531081,0.10618612695004787,0,False,False,neither
Izumo1r,0.44914572853287327,0.20163716369344303,0,False,False,neither
Izumo2,0.21612028911830689,0.11446495864099308,0,False,False,neither
Izumo3,0.165398857361766,0.10657791261177127,0,False,False,neither
Izumo4,0.35875616155412404,0.14237132711611336,0,False,False,neither
Jade1,0.14369908632431874,0.077166760671343,0,False,False,neither
Jade2,0.37588478391658403,0.20011564970431553,0,False,False,neither
Jade3,0.458001162616588,0.22961270092581226,0,False,False,neither
Jag1,0.21074851594265331,0.0996912605762805,0,False,False,neither
Jag2,0.3787086907992452,0.1881477591092029,0,False,False,neither
Jagn1,0.20122778700996247,0.10841103969639934,0,False,False,neither
Jak1,0.2233986216110184,0.08832130089591637,0,False,False,neither
Jak3,0.42005085269591375,0.17322274377373229,0,False,False,neither
Jakmip1,0.1910490679188207,0.09363290110618927,0,False,False,neither
Jakmip2,0.10703548579937892,0.04607341944109919,0,False,False,neither
Jam2,0.2794286404141394,0.12486181075401802,0,False,False,neither
Jam3,0.32977430056763285,0.18674439592858916,0,False,False,neither
Jarid2,0.2244390560871582,0.12671194132036956,0,False,False,neither
Jazf1,0.41077435402344376,0.1860888366974945,0,False,False,neither
Jchain,0.4065874997945154,0.18116722580825415,0,False,False,neither
Jdp2,0.25087363770055104,0.15980810511156782,0,False,False,neither
Jhy,0.3509439383539251,0.12358523104704794,0,False,False,neither
Jkamp,0.3220114626789242,0.15978447315271682,0,False,False,neither
Jmjd1c,0.43374451249480944,0.20046366748697703,0,False,False,neither
Jmjd4,0.3615734808356205,0.18569907500001107,0,False,False,neither
Jmjd6,0.14710189156328812,0.08960834737413872,0,False,False,neither
Jmjd7,0.33615363777998997,0.19580314181670375,0,False,False,neither
Jmjd8,0.10687920605083139,0.0544873879023578,0,False,False,neither
Jmy,0.25147829987130577,0.19716130885836713,0,False,False,neither
Josd1,0.3332736200260282,0.2074682458065149,0,False,False,neither
Josd2,0.3084586817668946,0.17621260275251244,0,False,False,neither
Jph1,0.4328003826395089,0.16236907802421974,0,False,False,neither
Jph2,0.3480437476115116,0.17555198560478924,0,False,False,neither
Jph3,0.13637111646497235,0.08425416615707856,0,False,False,neither
Jph4,0.11231011665212336,0.05300999607958133,0,False,False,neither
Jpx,0.4460626893774694,0.2855647983383157,0,False,False,neither
Jrk,0.49804129497833904,0.2645391179405421,0,False,False,neither
Jrkl,0.3325362894884329,0.15694976540879746,0,False,False,neither
Jsrp1,0.1980896333369055,0.08415904237234349,0,False,False,neither
Jtb,0.4083606217682001,0.12461142509863186,0,False,False,neither
Jun,0.2763023107754286,0.2517078034836821,0,False,False,neither
Junb,0.45350302407405146,0.2703675490766544,0,False,False,neither
Jund,0.33072725360763666,0.11407030944003313,0,False,False,neither
Junos,0.47286089249937263,0.20172724664322256,0,False,False,neither
Jup,0.420935560729321,0.19599030564312858,0,False,False,neither
K230010J24Rik,0.3715501882158745,0.17761297523744257,0,False,False,neither
Kalrn,0.4800373563086828,0.1519397483213367,0,False,False,neither
Kank1,0.17102872967717012,0.0941766647582157,0,False,False,neither
Kank2,0.7242193062976017,0.3964678021172169,1,False,True,female_only
Kank3,0.16912512358895912,0.07388912723030254,0,False,False,neither
Kank4,0.1427490235611832,0.11323844519129894,0,False,False,neither
Kank4os,0.3752782450304531,0.20596478596251774,0,False,False,neither
Kansl1,0.3116171984526306,0.22145945993111946,0,False,False,neither
Kansl1l,0.39113474046290825,0.265125739108615,0,False,False,neither
