gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence
0610005C13Rik,-0.0015884563878551985,-0.0008606066428902537,-0.0007278497449649448,0.013259966338793117,0.0077648774635472595,
0610007P14Rik,0.0003387760840303148,0.002685331275442849,-0.0023465551914125344,0.0003380878427617917,0.11739084747290551,
0610009B22Rik,-0.00021506127901961677,-0.021468266083342073,0.021253204804322457,6.532160503414097e-05,0.7850806044086543,
0610009L18Rik,0.012248296362416727,-0.003972840501482996,0.016221136863899723,0.2993503938613242,0.11261667097297612,
0610009O20Rik,-0.03320478764784105,-0.03300531079447096,-0.00019947685337009385,0.6913223315468685,0.8258028317983244,
0610010B08Rik,-0.0001165547960697193,4.8796378994695495e-06,-0.00012143443396918885,0.010472338500834621,0.0002053950225155976,
0610010F05Rik,0.030508073020551016,0.029281924821771884,0.0012261481987791319,0.3981913233054535,0.37752110424365537,
0610010K14Rik,-0.03675951999769629,-0.03984776622334266,0.0030882462256463655,0.6576549279841366,0.7419769402700839,
0610011F06Rik,-0.02675959720653322,-0.03010050578229887,0.0033409085757656505,0.44892002923028884,0.6530262710156574,
0610012G03Rik,-0.0014004840837990896,0.0004897784603555325,-0.0018902625441546222,0.00047454489067877414,0.0001316263224293568,
0610030E20Rik,-0.023560811269404822,-0.034307918465862945,0.010747107196458123,0.21053345150984726,0.6235838445873347,
0610031J06Rik,-0.024273365790609333,-0.02062494256658814,-0.003648423224021192,0.43430270122307935,0.6963268470308717,
0610031O16Rik,0.0010937831371240897,0.00030323957083183396,0.0007905435662922558,0.9569033052935036,0.025231250455365006,
0610037L13Rik,-0.007975837994827956,-0.017621115152593816,0.00964527715776586,0.3775046612884876,0.7529128761916282,
0610038B21Rik,-0.008150599001943927,-0.005754208520618064,-0.0023963904813258637,0.27421274150161645,0.8457879296615861,
0610039K10Rik,-0.0005923041456092469,0.0009533385877233092,-0.001545642733332556,0.11263090572802548,0.21686926987084665,
0610040B10Rik,0.01397999138627204,0.00511423717238315,0.00886575421388889,0.2898869808474763,0.4615598715914605,
0610040F04Rik,0.0142235360079989,0.011075108839417347,0.0031484271685815537,0.9211693149729013,0.9130264652294069,
0610040J01Rik,0.01604842167154002,0.010172778330560924,0.005875643340979097,0.14110807543450898,0.08145126040686712,
0610043K17Rik,0.004620154267786778,0.006354291086331324,-0.0017341368185445462,0.43887687400259956,0.8804161140925848,
1010001N08Rik,-0.0004676187425834571,-0.0002480622846613234,-0.00021955645792213373,0.5973453518113797,0.7708814539549993,
1100001G20Rik,0.0006300594584732424,0.0006258349378412303,4.224520632012158e-06,0.33059197938845875,0.07395090673585891,
1110001J03Rik,0.0007838532563072023,-0.007907985796017154,0.008691839052324356,0.0001631148720364628,0.06397927702229411,
1110002L01Rik,-0.012662187208232365,-0.01910409203559877,0.006441904827366405,0.08642209866592088,0.45665872363444293,
1110004E09Rik,0.01368916344905371,0.0019833996131244343,0.011705763835929275,0.4496851042561094,0.2861583919564089,
1110004F10Rik,-0.007450253733133057,-0.0022693257166925525,-0.005180928016440505,0.05343390173501916,0.02138199747452385,
1110006O24Rik,-0.01977888700416642,-0.03571212630890342,0.015933239304737,0.3221666011819654,0.7402795699383281,
1110007C09Rik,-0.016227012575084604,-0.010597074651706988,-0.0056299379233776155,0.5687182787230631,0.18151296306392117,
1110008F13Rik,-0.003165859351625971,-0.01920120497288116,0.01603534562125519,0.008176465681493994,0.5379658475093576,
1110008L16Rik,-0.01075741860662779,-0.01531158660366427,0.004554167997036481,0.38827736781910216,0.7200036283562588,
1110008P14Rik,0.030724816709908554,0.02856292121143556,0.0021618954984729925,0.30132535165764296,0.7458330474000683,
1110012L19Rik,0.005385713853447819,0.005846800814860647,-0.00046108696141282813,0.016407708570826407,0.06151014866583082,
1110015O18Rik,0.00767412737809725,0.010161063020675877,-0.0024869356425786275,0.05232437874764262,0.047197549246641435,
1110017D15Rik,0.027808605802742775,0.01124659482397104,0.016562010978771736,0.9523831759392396,0.7113930616585908,
1110019D14Rik,-0.005401896617185423,-0.03714818008113765,0.031746283463952224,0.037170447282522945,0.7594133021982705,
1110020A21Rik,-0.016297909825430706,-0.027475413111473206,0.0111775032860425,0.37600183567661616,0.7835931231806869,
1110025L11Rik,0.0,0.0,0.0,1.0,1.0,
1110028F11Rik,-0.0032408149639570638,-0.0029139732242966544,-0.00032684173966040933,0.36468787042707895,0.35111253075225723,
