stream1_rank,gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0,max_abs_log2FC,stream1_score
1,Neurog1,-0.1862203759316231,-0.2229442041582966,0.0367238282266735,0.604065565863591,0.933437207381214,,-0.5348889514856181,-0.6711680543286214,-2.4149223957478134,0.0138915232707221,2.4149223957478134,0.08868519524218954
2,Olig3,-0.0821989345742809,-0.1328818815545028,0.0506829469802219,0.778973807378309,0.6792714676312257,,-1.738093470136571,-0.4822566218430328,-0.2418725617092895,-0.1106802557847412,1.738093470136571,0.08809169919360173
3,Adm,-0.064042248742076,-0.0251943339896435,-0.0388479147524324,0.3111075449632171,0.9310553024150344,,2.2502967709976733,0.0786617573398811,0.4096739646065547,0.4845152425542274,2.2502967709976733,0.0874193371273915
4,Ddit4,-0.0723788771871219,-0.0277087609862045,-0.0446701162009174,0.383254319962963,0.3439093460477344,,1.8953335945376557,-0.316199131498198,0.1753403896156564,0.0052446082393641,1.8953335945376557,0.08466477190749953
5,Slc16a3,-0.1341733915555414,-0.09951474895394,-0.0346586426016014,0.3525251293482717,0.5783834533921826,,2.2879776217222645,0.0980997490574193,0.2776845277366461,0.5872067495934282,2.2879776217222645,0.07929819867173392
6,Fgf15,-0.1635148540759521,-0.1957442211214385,0.0322293670454864,0.5960094474399543,0.9681670640036236,,0.2808148777001987,-0.0727871953701367,-2.073869734726565,0.6182212705922387,2.073869734726565,0.06683950888502799
7,A330033J07Rik,-0.0873658943461303,-0.0490750385086276,-0.0382908558375027,0.3761275164014375,0.5244685737242814,,1.6359228532832306,0.2011189907741948,-0.0781636688433881,0.1745846281120783,1.6359228532832306,0.06264088613634426
8,Hk2,-0.1622707280409994,-0.1252433793408223,-0.037027348700177,0.5482396596632544,0.8980183080638455,,1.670085637327817,-0.2605675533221215,-0.8778257202958321,-0.0204440434703767,1.670085637327817,0.061838843252494426
9,Prdm12,-0.0638458331728448,-0.1080233289174521,0.0441774957446073,0.5211620364291722,0.991410649412794,,-0.2274501624518825,-0.1364189986269976,-1.3622572657123333,0.6174567916471768,1.3622572657123333,0.060181114559066974
10,Met,0.1469418453139754,0.1783425796068203,-0.0314007342928449,0.5432143562675675,0.9620164114849028,,-0.210052876240486,0.4850329966514934,1.840533761755388,-0.4226830381249926,1.840533761755388,0.057794111609891244
11,Matn4,0.0468378304714056,0.0831736249135903,-0.0363357944421847,0.3570452563780204,0.9487633043652032,,1.551065766921094,0.3961399131284879,0.7564970777455937,0.3078098399815427,1.551065766921094,0.05635920687315445
