gene_name,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0
0610005C13Rik,0.2784910261598841,0.1345775721609469,-0.13403555802001782,0.17662519623753886
0610007P14Rik,-0.10132189770209925,-0.07139349465459635,0.3790730171431313,-0.10051302057432118
0610009B22Rik,-0.3260002386533706,-0.5011034632143246,0.11408658328631474,0.0721303113475775
0610009L18Rik,-0.10112638746595354,-0.22154381810596896,0.10230256281340569,0.1976379145506573
0610009O20Rik,0.058801240244825775,0.004043691385358538,-0.17443065406045027,0.01574861259196019
0610010B08Rik,0.0,0.01626513127354976,-0.0065226454318745705,0.003287901411257035
0610010F05Rik,-0.22303869595272896,-0.16129842467689462,0.12398618043104274,-0.14769673186199747
0610010K14Rik,-0.01870639277846174,-0.2349308140647622,-0.34038679759190543,-0.0638959901661127
0610011F06Rik,0.009593352735645645,-0.2259731750987842,-0.12022617379417759,-0.023145741635224988
0610012G03Rik,0.11465414528690136,-0.2941859362244191,0.22426731451282858,-0.0725490460395117
0610030E20Rik,-0.09008525692507766,0.041357361856071834,-0.3410775588187643,0.15942234868281144
0610031J06Rik,0.2606753891714112,0.08718352100121879,-0.19529953320600116,0.0847779948537064
0610031O16Rik,-0.00894513450044389,-0.0014562030767906599,-0.03607485833723556,0.00790323965455121
0610037L13Rik,-0.04605213377320156,-0.17492115916800163,-0.15393902728659745,0.09196697348177087
0610038B21Rik,0.17111525270670924,-0.08652674269034125,-0.006620986498682976,0.009682566737432879
0610039K10Rik,0.02054594989722615,-0.0012201404971946127,-0.006923151051106892,-0.021328636670867783
0610040B10Rik,0.1940547806435742,-0.15087134295170732,-0.1766414369550513,0.2129277989666933
0610040F04Rik,0.0033841622809573798,0.06653793851796738,0.0006754629686023915,0.09140619996935094
0610040J01Rik,-0.08764329462825242,0.14306301656828257,0.11071685723649709,0.13567509492474125
0610043K17Rik,-0.012331083049673454,0.05035353430753479,-0.012246146110921584,-0.023433157968205075
1010001N08Rik,0.005820170667322864,0.0046792828262968555,-0.006171807416532512,0.0
