rank,gene_name,perturbation_E15,perturbation_P0,perturbation_P13,mean_perturbation,transferability,rank_score,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
44,Tuba1c,0.37739024,0.30006275,0.17445819,0.2839704,0.97535634,0.27697232,0.3410064,0.35024408,1.0,0.8675864,0.27124155
45,Gpr146,0.13105987,0.75213593,0.03376399,0.30565327,0.9043449,0.27641597,0.6340329,0.6537756,1.0,0.71007234,0.16041377
46,Rn7sk,0.5084414,0.45588905,0.075250596,0.346527,0.7949313,0.27546516,0.22436593,0.63553476,1.0,0.28000793,0.12294223
47,Meg3,0.19405434,0.57611424,0.05930669,0.27649173,0.9889827,0.27344555,0.8111798,0.5284654,1.0,0.21057588,0.71412164
48,Lrp1b,0.24229194,0.54283345,0.04890165,0.27800903,0.98351836,0.27342698,0.73173654,0.5841357,1.0,0.40471,0.3022655
49,Slc7a3,0.3665872,0.42779985,0.081184015,0.29185703,0.9281753,0.27089447,0.6679068,0.5988667,1.0,0.81844693,0.13996053
50,Sfrp1,0.16408084,0.5242581,0.16709688,0.28514528,0.94095665,0.26830935,0.18795708,0.255471,1.0,0.71656144,0.41529602
51,Adgrv1,0.49233398,0.4501417,0.17180653,0.37142742,0.7212872,0.26790583,0.34785515,0.27485847,1.0,0.40761504,0.24061392
52,Wwtr1,0.39841706,0.31457803,0.13240315,0.2817994,0.9498937,0.26767948,0.40300328,0.4024096,1.0,0.8076841,0.33746338
53,Kif4,0.35681957,0.39364874,0.087034404,0.27916756,0.956631,0.26706034,0.27690524,0.27197677,1.0,0.59007865,0.24107747
54,Sgcd,0.109146595,0.62566704,0.08835712,0.27439025,0.9730422,0.26699328,0.62634474,0.48006976,1.0,0.6166543,0.068383306
55,Cntnap5c,0.088514626,0.7501858,0.008654399,0.2824516,0.94436246,0.2667367,0.62536067,0.5072679,1.0,0.4315707,0.1339764
56,Rrm2,0.3648122,0.40662077,0.0670754,0.27950278,0.9507808,0.26574588,0.27097234,0.21921317,1.0,0.36108482,0.29158065
57,Rpl36,0.068796866,0.70153636,0.03756175,0.26929834,0.9867442,0.2657286,0.24761869,0.44318697,1.0,0.29111165,0.46405724
58,Tacr1,0.15455033,0.6399718,0.013069484,0.2691972,0.9866345,0.26559925,0.6095441,0.4536362,1.0,0.54551417,0.11221006
59,Trpm3,0.25362954,0.48314503,0.08151216,0.27276224,0.9728891,0.26536742,0.55453914,0.48516664,1.0,0.5544721,0.33258125
60,Grin2a,0.3921582,0.36652714,0.03898228,0.2658892,0.9924816,0.26389015,0.8852454,0.7760669,1.0,0.45060858,0.32390088
61,Gm42608,0.16125794,0.60040355,0.05719187,0.2729511,0.96657217,0.26382694,0.6854052,0.54415125,1.0,0.47742096,0.06636004
62,Spidr,0.27957526,0.44814888,0.11180529,0.27984312,0.9404777,0.26318622,0.34213805,0.37306893,1.0,0.8211497,0.17998429
63,L3mbtl4,0.020624569,0.76288116,0.016367251,0.26662433,0.9858369,0.2628481,0.58636236,0.45601168,1.0,0.49318278,0.029161628
64,RP23-261B5.1,0.1507622,0.5930052,0.06404895,0.26927212,0.97144705,0.2615836,0.5602192,0.43317086,1.0,0.9632567,0.05714989
65,Gm45201,0.24980928,0.5311346,0.02145847,0.26746744,0.9759201,0.26102686,0.6180623,0.46993652,1.0,0.5298348,0.021495791
66,Rmrp,0.51261353,0.30710492,0.03288885,0.28420243,0.9165351,0.2604815,0.25002563,0.5379253,1.0,0.22125106,0.008704736
67,Fau,0.15579703,0.56455696,0.061817676,0.26072386,0.9965715,0.25982997,0.27666655,0.43466094,1.0,0.3591605,0.5413248
68,Anln,0.38027397,0.6211924,0.037921123,0.3464625,0.7479387,0.2591327,0.3506038,0.46066788,1.0,0.8022861,0.27234563
69,Epha10,0.2453694,0.538425,0.02027157,0.26802197,0.96518797,0.25869158,0.79358876,0.7139397,1.0,0.6194887,0.2117202
70,Kcna4,0.30909115,0.44944015,0.040934242,0.26648852,0.970493,0.25862524,0.71207434,0.60606074,1.0,0.46831927,0.19853342
71,Ngfr,0.0431555,0.6259877,0.1373766,0.26883993,0.95886004,0.25777987,0.22264163,0.2827904,1.0,0.6784847,0.20681229
72,Celsr1,0.29090863,0.3756649,0.11878595,0.2617865,0.9843572,0.2576914,0.15117675,0.2627836,1.0,0.44618675,0.37676793
73,Gm45073,0.15974973,0.61715746,0.0135253,0.2634775,0.9759651,0.25714484,0.4471363,0.46368092,1.0,0.9612015,0.007581675
74,Fam228a,0.3005824,0.55096555,0.11484676,0.32213157,0.79549223,0.25625315,0.57765675,0.46918863,1.0,0.75401676,0.042686556
75,A930011G23Rik,0.21929064,0.77300686,0.03891257,0.34373668,0.74538964,0.25621775,0.63075334,0.45640525,1.0,0.68454623,0.089720115
76,Megf10,0.33113444,0.20012155,0.24718514,0.25948036,0.9852503,0.2556531,0.29916248,0.47127503,1.0,0.45932177,0.32144848
