#Archive/File	Name	Time	Size	Type
Archive	GSE161529_RAW.tar	03/22/2021 03:14:29	2359685120	TAR
File	GSM4909253_N-PM0092-Total-barcodes.tsv.gz	11/15/2020 08:36:58	25449	TSV
File	GSM4909253_N-PM0092-Total-matrix.mtx.gz	11/15/2020 07:29:47	34879337	MTX
File	GSM4909254_N-PM0019-Total-barcodes.tsv.gz	11/15/2020 08:36:57	35538	TSV
File	GSM4909254_N-PM0019-Total-matrix.mtx.gz	11/15/2020 07:30:24	55071383	MTX
File	GSM4909255_N-N280-Epi-barcodes.tsv.gz	11/15/2020 08:36:55	6745	TSV
File	GSM4909255_N-N280-Epi-matrix.mtx.gz	11/15/2020 07:24:30	7824466	MTX
File	GSM4909256_N-PM0095-Epi-barcodes.tsv.gz	11/15/2020 08:36:59	50185	TSV
File	GSM4909256_N-PM0095-Epi-matrix.mtx.gz	11/15/2020 07:35:20	74257486	MTX
File	GSM4909257_N-PM0095-Total-barcodes.tsv.gz	11/15/2020 08:37:00	38337	TSV
File	GSM4909257_N-PM0095-Total-matrix.mtx.gz	11/15/2020 07:33:59	47496532	MTX
File	GSM4909258_N-NF-Epi-barcodes.tsv.gz	11/15/2020 08:36:57	14500	TSV
File	GSM4909258_N-NF-Epi-matrix.mtx.gz	11/15/2020 07:27:01	18241654	MTX
File	GSM4909259_N-NE-Epi-barcodes.tsv.gz	11/15/2020 08:36:55	14806	TSV
File	GSM4909259_N-NE-Epi-matrix.mtx.gz	11/15/2020 07:26:16	23494782	MTX
File	GSM4909260_N-N1105-Epi-barcodes.tsv.gz	11/15/2020 08:36:54	26534	TSV
File	GSM4909260_N-N1105-Epi-matrix.mtx.gz	11/15/2020 07:25:39	38863485	MTX
File	GSM4909261_N-PM0230-Total-barcodes.tsv.gz	11/15/2020 08:37:01	18011	TSV
File	GSM4909261_N-PM0230-Total-matrix.mtx.gz	11/15/2020 07:36:23	31510273	MTX
File	GSM4909262_N-MH0064-Epi-barcodes.tsv.gz	11/15/2020 08:36:49	24553	TSV
File	GSM4909262_N-MH0064-Epi-matrix.mtx.gz	11/15/2020 07:17:32	16265835	MTX
File	GSM4909263_N-MH0064-Total-barcodes.tsv.gz	11/15/2020 08:36:49	9212	TSV
File	GSM4909263_N-MH0064-Total-matrix.mtx.gz	11/15/2020 07:18:07	7589539	MTX
File	GSM4909264_N-N1B-Epi-barcodes.tsv.gz	11/15/2020 08:36:54	10457	TSV
